company_id,company_name,country,homepage,code,code6_re,ticker_candidates,ticker_used,market_cap,market_cap_currency,market_cap_source,market_cap_fetched_at_utc,market_cap_error
89,메리츠금융지주,KR,,138040.0,138040,138040.KS|138040.KQ,138040.KS,20543422070784,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
90,무림P&P,KR,,9580.0,009580,009580.KS|009580.KQ,009580.KS,150920331264,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
91,무림SP,KR,,001810,001810,001810.KS|001810.KQ,001810.KQ,31036774400,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
92,무림페이퍼,KR,,9200.0,009200,009200.KS|009200.KQ,009200.KS,80763674624,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
93,미래에셋생명,KR,,85620.0,085620,085620.KS|085620.KQ,085620.KS,1150833655808,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
94,미래에셋증권,KR,,6800.0,006800,006800.KS|006800.KQ,006800.KS,31317603385344,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
95,미스토홀딩스,KR,,81660.0,081660,081660.KS|081660.KQ,081660.KS,2856340946944,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
96,보령,KR,,3850.0,003850,003850.KS|003850.KQ,003850.KS,790737387520,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
97,삼성SDI,KR,,6400.0,006400,006400.KS|006400.KQ,006400.KS,29667499180032,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
98,삼성바이오로직스,KR,,207940.0,207940,207940.KS|207940.KQ,207940.KS,77768796667904,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
99,삼성생명,KR,,32830.0,032830,032830.KS|032830.KQ,032830.KS,34657932410880,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
100,삼성에스디에스,KR,,18260.0,018260,018260.KS|018260.KQ,018260.KS,12878805467136,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
101,삼성전기,KR,,9150.0,009150,009150.KS|009150.KQ,009150.KS,22966362439680,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
102,삼성전자,KR,,5930.0,005930,005930.KS|005930.KQ,005930.KS,1114570051551232,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
103,삼성중공업,KR,,10140.0,010140,010140.KS|010140.KQ,010140.KS,23659966103552,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
104,삼성증권,KR,,16360.0,016360,016360.KS|016360.KQ,016360.KS,8278110109696,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
105,삼성카드,KR,,29780.0,029780,029780.KS|029780.KQ,029780.KS,6285259964416,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
106,삼양그룹,KR,,000070,000070,000070.KS|000070.KQ,000070.KS,430949302272,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
108,세방,KR,,4360.0,004360,004360.KS|004360.KQ,004360.KS,332944211968,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
109,세방전지,KR,,4490.0,004490,004490.KS|004490.KQ,004490.KS,859769405440,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
110,세아베스틸지주,KR,,1430.0,001430,001430.KS|001430.KQ,001430.KS,3037521510400,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
