Domain,Table_Name,Column_Order,Column_Name,Data_Type,Nullable,Key_Type,Description
Raw Fact,,9,primary_data_ratio,"NUMERIC(8,5)",Y,,1차 데이터 사용 비율
Raw Fact,,10,data_quality_code,VARCHAR(20),Y,,DQS 코드
Raw Fact,,11,estimation_method_code,VARCHAR(50),Y,,산정 방식 코드
Raw Fact,,12,verification_status,VARCHAR(50),Y,,검증 상태
Raw Fact,,13,source_document_id,BIGINT,Y,FK,근거 문서
Raw Fact,,14,evidence_id,BIGINT,Y,FK,근거 블록
Raw Fact,,15,reg_date,TIMESTAMP,N,,레코드 등록 일시
Raw Fact,,16,registrar,VARCHAR(100),N,,등록 주체
Raw Fact,,17,update_date,TIMESTAMP,Y,,최종 수정 일시
Raw Fact,,18,updater,VARCHAR(100),Y,,최종 수정 주체
Raw Fact,,19,note,TEXT,Y,,추가 메모
Raw Fact,co_esg_kpi,1,co_esg_kpi_id,BIGINT,N,PK,기업 ESG KPI 식별자
Raw Fact,,2,company_id,BIGINT,N,FK,대상 회사
Raw Fact,,3,period_id,BIGINT,N,FK,평가 기간
Raw Fact,,4,entity_id,BIGINT,Y,FK,실제 보고 단위 엔티티(자회사/사업장/그룹 등)
Raw Fact,,5,fact_year,INTEGER,Y,,실제 KPI 측정 또는 집계 연도
Raw Fact,,6,topic_cd,VARCHAR(50),N,,상위 토픽 코드(env, social, governance 등)
Raw Fact,,7,subtopic_cd,VARCHAR(50),Y,,세부 토픽 코드
Raw Fact,,8,kpi_cd,VARCHAR(100),N,,KPI 코드
Raw Fact,,9,kpi_label,VARCHAR(200),Y,,KPI 표시명
Raw Fact,,10,kpi_val_num,"NUMERIC(24,6)",Y,,수치형 KPI 값
Raw Fact,,11,kpi_val_txt,TEXT,Y,,문자형 KPI 값
Raw Fact,,12,unit,VARCHAR(50),Y,,KPI 단위
Raw Fact,,13,dim1_cd,VARCHAR(50),Y,,1차 차원 코드
Raw Fact,,14,dim1_val,VARCHAR(100),Y,,1차 차원 값
Raw Fact,,15,dim2_cd,VARCHAR(50),Y,,2차 차원 코드
Raw Fact,,16,dim2_val,VARCHAR(100),Y,,2차 차원 값
Raw Fact,,17,verif_status,VARCHAR(50),Y,,검증 상태
Raw Fact,,18,data_status,VARCHAR(30),N,,"reported, estimated, missing 등"
Raw Fact,,19,source_document_id,BIGINT,Y,FK,근거 문서
Raw Fact,,20,evidence_id,BIGINT,Y,FK,근거 블록
Raw Fact,,21,reg_date,TIMESTAMP,N,,레코드 등록 일시
Raw Fact,,22,registrar,VARCHAR(100),N,,등록 주체
Raw Fact,,23,update_date,TIMESTAMP,Y,,최종 수정 일시
Raw Fact,,24,updater,VARCHAR(100),Y,,최종 수정 주체
Raw Fact,,25,note,TEXT,Y,,추가 메모
Raw Fact,co_ghg_method,1,ghg_method_id,BIGINT,N,PK,배출 방법론 공시 식별자
Raw Fact,,2,company_id,BIGINT,N,FK,대상 회사
Raw Fact,,3,period_id,BIGINT,N,FK,평가 기간
Raw Fact,,4,entity_id,BIGINT,Y,FK,실제 보고 단위 엔티티(자회사/사업장/그룹 등)
Raw Fact,,5,scope_cd,VARCHAR(30),Y,,대상 Scope 코드
Raw Fact,,6,topic_cd,VARCHAR(50),N,,"공시 주제 코드(boundary, method, factor_source, base_year, restatement 등)"
Raw Fact,,7,base_year,INTEGER,Y,,기준연도
Raw Fact,,8,std_ref,VARCHAR(200),Y,,적용 기준 또는 표준
Raw Fact,,9,boundary_txt,TEXT,Y,,보고 경계 설명
Raw Fact,,10,method_txt,TEXT,Y,,산정 방법 설명
Raw Fact,,11,factor_src,TEXT,Y,,배출계수 또는 데이터 출처 설명
Raw Fact,,12,change_txt,TEXT,Y,,재기술 또는 경계 변경 설명
Raw Fact,,13,source_document_id,BIGINT,Y,FK,근거 문서
Raw Fact,,14,evidence_id,BIGINT,Y,FK,근거 블록
Raw Fact,,15,reg_date,TIMESTAMP,N,,레코드 등록 일시
Raw Fact,,16,registrar,VARCHAR(100),N,,등록 주체
Raw Fact,,17,update_date,TIMESTAMP,Y,,최종 수정 일시
Raw Fact,,18,updater,VARCHAR(100),Y,,최종 수정 주체
Raw Fact,,19,note,TEXT,Y,,추가 메모
Rubric,company_assessments,1,assessment_id,BIGINT,N,PK,루브릭 평가 식별자
Rubric,,2,company_id,BIGINT,N,FK,대상 회사
Rubric,,3,period_id,BIGINT,N,FK,평가 기간
